"","cnt_av","cnt_sd","diab_av","diab_sd"
"OTU_8617",4.87271731466498e-05,0.000438544558319848,0,0
"OTU_8317",0.000112874779541446,0.00101587301587302,0,0
"OTU_4217",0.000331080824593984,0.00138020238982645,4.31265916407727e-05,0.000276144924212901
"OTU_7364",0.00020684965741069,0.00111726193280954,0,0
"OTU_8026",0,0,9.60000153600025e-05,0.000614700025145558
"OTU_8247",3.24847820977665e-05,0.000292363038879899,0,0
"OTU_4771",9.65357324945206e-05,0.000868821592450685,3.02721160511841e-05,0.000193836120005717
"OTU_6796",5.20819499065389e-05,0.00046873754915885,0,0
"OTU_8391",0,0,0,0
"OTU_2406",0.000155157991931372,0.000921945139747785,0,0
"OTU_4652",0,0,0,0
"OTU_8672",5.89789910935826e-05,0.000530810919842243,0,0
"OTU_8152",0.000107873398916045,0.000970860590244404,0,0
"OTU_7937",5.74377919993751e-05,0.000516940127994376,0,0
"OTU_5262",0.000225688449595002,0.00203119604635502,0,0
"OTU_5352",4.17789475883102e-05,0.000376010528294792,0,0
"OTU_6813",0.000202543131559866,0.00182288818403879,4.30884973102006e-05,0.000275901001481505
"OTU_6228",4.14521002328365e-05,0.000373068902095528,0,0
"OTU_636",0.00447056149063228,0.00914167134774078,0.000449382363648581,0.00116231823381446
"OTU_8315",0.0010365501517831,0.00366405456282766,0.000148484076369401,0.000461576285739642
"OTU_8360",0.00299457505899537,0.00734083749540881,0.000299062675866958,0.00109225687627808
"OTU_1080",0.000347288601298021,0.00138108399183974,0,0
"OTU_6550",8.63844647601327e-05,0.000606639773663723,0,0
"OTU_690",0.00589002993415805,0.0111149765724771,0.00111593150132601,0.00299208256013663
"OTU_5400",0.000261401320132857,0.0013290816736928,0,0
"OTU_2114",0.000234694006574783,0.00112656992159324,2.95750450501874e-05,0.000189372687784023
"OTU_8483",0,0,0,0
"OTU_5891",9.96446753362965e-05,0.000468951469631419,4.14821230716517e-05,0.000265615187660265
"OTU_922",0.000988219670904985,0.0026963847234516,0.000138863718015021,0.000639690656600725
"OTU_8382",0.000217079108630812,0.000962711798804374,0,0
"OTU_911",0.000988162307369173,0.00648090356976344,0.000986193053212558,0.00338890109601779
"OTU_5799",0.00014851561822066,0.00133664056398594,0,0
"OTU_6945",0.000167979902584482,0.00132163586291478,0,0
"OTU_2158",0.000861563972530175,0.0036408659748202,0,0
"OTU_4828",6.72141934868102e-05,0.000604927741381292,0,0
"OTU_7064",8.52260766567651e-05,0.000767034689910886,0,0
"OTU_4984",7.05897633548773e-05,0.000635307870193896,0,0
"OTU_3381",0,0,0,0
"OTU_3524",0,0,4.25082533316198e-05,0.00027218562719863
"OTU_2396",0.000888213846365651,0.00799392461729086,0.00046108258091487,0.0029523690493141
"OTU_3424",0,0,0,0
"OTU_6024",8.22420228116344e-05,0.000740178205304709,0,0
"OTU_7355",0.00014015798280223,0.000924753001542531,0,0
"OTU_6479",8.19596355457708e-05,0.00052855450884023,0,0
"OTU_2265",0.00138633988413924,0.00504137094265669,0.000654379232509872,0.00252971917726097
"OTU_7188",0.000182876374327348,0.000865223362499146,8.29642461433033e-05,0.00053123037532053
